Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
out;fftw.cpp;42;1.3546710014343262;0-2;Single bit-flip
i;fftw.cpp;53;2.3784167766571045;0-2;Single bit-flip
i;fftw.cpp;53;1.455521821975708;0-2;Single bit-flip
i;fftw.cpp;53;1.886383295059204;0-2;Single bit-flip
size;fftw.cpp;44;2.550110101699829;0-2;Single bit-flip
i;fftw.cpp;53;1.0557482242584229;0-2;Single bit-flip
i;fftw.cpp;53;1.315746784210205;0-2;Single bit-flip
size;fftw.cpp;44;1.9072763919830322;0-2;Single bit-flip
size;fftw.cpp;44;1.6342175006866455;0-2;Single bit-flip
size;fftw.cpp;44;1.563694715499878;0-2;Single bit-flip
i;fftw.cpp;53;1.149397373199463;0-2;Single bit-flip
size;fftw.cpp;44;2.8726537227630615;0-2;Single bit-flip
size;fftw.cpp;44;0.8427252769470215;0-2;Single bit-flip
size;fftw.cpp;44;1.5360333919525146;0-2;Single bit-flip
out;fftw.cpp;42;1.6071367263793945;0-2;Single bit-flip
size;fftw.cpp;44;1.6639673709869385;0-2;Single bit-flip
i;fftw.cpp;53;1.5866971015930176;0-2;Single bit-flip
size;fftw.cpp;44;0.5864653587341309;0-2;Single bit-flip
out;fftw.cpp;42;1.3138728141784668;0-2;Single bit-flip
size;fftw.cpp;44;1.5533640384674072;0-2;Single bit-flip
i;fftw.cpp;53;1.7954258918762207;0-2;Single bit-flip
size;fftw.cpp;44;1.4432015419006348;0-2;Single bit-flip
i;fftw.cpp;53;2.5810370445251465;0-2;Single bit-flip
i;fftw.cpp;53;2.413717269897461;0-2;Single bit-flip
size;fftw.cpp;44;2.5632340908050537;0-2;Single bit-flip
size;fftw.cpp;44;0.7660818099975586;0-2;Single bit-flip
size;fftw.cpp;44;2.1720337867736816;0-2;Single bit-flip
out;fftw.cpp;42;0.7146358489990234;0-2;Single bit-flip
out;fftw.cpp;42;1.627112627029419;0-2;Single bit-flip
i;fftw.cpp;53;0.8627235889434814;0-2;Single bit-flip
size;fftw.cpp;44;1.5274314880371094;0-2;Single bit-flip
i;fftw.cpp;53;1.2708113193511963;0-2;Single bit-flip
out;fftw.cpp;42;1.5090904235839844;0-2;Single bit-flip
out;fftw.cpp;42;1.5300450325012207;0-2;Single bit-flip
i;fftw.cpp;53;1.7313015460968018;0-2;Single bit-flip
i;fftw.cpp;53;1.0681421756744385;0-2;Single bit-flip
size;fftw.cpp;44;1.0349342823028564;0-2;Single bit-flip
out;fftw.cpp;42;1.1095311641693115;0-2;Single bit-flip
out;fftw.cpp;42;1.6649346351623535;0-2;Single bit-flip
i;fftw.cpp;53;1.568603754043579;0-2;Single bit-flip
i;fftw.cpp;53;2.826754331588745;0-2;Single bit-flip
i;fftw.cpp;53;0.5726532936096191;0-2;Single bit-flip
out;fftw.cpp;42;1.6590054035186768;0-2;Single bit-flip
size;fftw.cpp;44;1.460200309753418;0-2;Single bit-flip
i;fftw.cpp;53;1.3926377296447754;0-2;Single bit-flip
size;fftw.cpp;44;1.8431155681610107;0-2;Single bit-flip
size;fftw.cpp;44;1.876539945602417;0-2;Single bit-flip
i;fftw.cpp;53;1.3583858013153076;0-2;Single bit-flip
out;fftw.cpp;42;1.4628169536590576;0-2;Single bit-flip
i;fftw.cpp;53;1.413977861404419;0-2;Single bit-flip
size;fftw.cpp;44;0.5217175483703613;0-2;Single bit-flip
size;fftw.cpp;44;1.8391492366790771;0-2;Single bit-flip
i;fftw.cpp;53;2.449230194091797;0-2;Single bit-flip
size;fftw.cpp;44;2.077536106109619;0-2;Single bit-flip
i;fftw.cpp;53;2.483905792236328;0-2;Single bit-flip
out;fftw.cpp;42;1.365494728088379;0-2;Single bit-flip
i;fftw.cpp;53;1.1177258491516113;0-2;Single bit-flip
size;fftw.cpp;44;1.1232805252075195;0-2;Single bit-flip
out;fftw.cpp;42;1.126455307006836;0-2;Single bit-flip
size;fftw.cpp;44;1.6718370914459229;0-2;Single bit-flip
size;fftw.cpp;44;1.5330016613006592;0-2;Single bit-flip
out;fftw.cpp;42;1.496154546737671;0-2;Single bit-flip
out;fftw.cpp;42;2.4581658840179443;0-2;Single bit-flip
size;fftw.cpp;44;2.550741195678711;0-2;Single bit-flip
sf;vsnprintf.c;96;2.633680820465088;0-2;Single bit-flip
i;fftw.cpp;53;2.0941741466522217;0-2;Single bit-flip
i;fftw.cpp;53;1.7101798057556152;0-2;Single bit-flip
i;fftw.cpp;53;1.090989589691162;0-2;Single bit-flip
size;fftw.cpp;44;1.3448848724365234;0-2;Single bit-flip
size;fftw.cpp;44;2.0642709732055664;0-2;Single bit-flip
out;fftw.cpp;42;1.1195294857025146;0-2;Single bit-flip
i;fftw.cpp;53;1.4452354907989502;0-2;Single bit-flip
out;fftw.cpp;42;1.9796216487884521;0-2;Single bit-flip
out;fftw.cpp;42;1.0246615409851074;0-2;Single bit-flip
i;fftw.cpp;53;1.0320305824279785;0-2;Single bit-flip
size;fftw.cpp;44;1.9971442222595215;0-2;Single bit-flip
i;fftw.cpp;53;1.5246808528900146;0-2;Single bit-flip
i;fftw.cpp;53;1.9785284996032715;0-2;Single bit-flip
out;fftw.cpp;42;0.9268887042999268;0-2;Single bit-flip
size;fftw.cpp;44;2.120372772216797;0-2;Single bit-flip
i;fftw.cpp;53;2.5855886936187744;0-2;Single bit-flip
size;fftw.cpp;44;0.9708700180053711;0-2;Single bit-flip
i;fftw.cpp;53;1.7467598915100098;0-2;Single bit-flip
size;fftw.cpp;44;1.1503946781158447;0-2;Single bit-flip
i;fftw.cpp;53;2.491105318069458;0-2;Single bit-flip
i;fftw.cpp;53;0.8064453601837158;0-2;Single bit-flip
i;fftw.cpp;53;1.8896687030792236;0-2;Single bit-flip
i;fftw.cpp;53;1.1707220077514648;0-2;Single bit-flip
i;fftw.cpp;53;2.0903329849243164;0-2;Single bit-flip
size;fftw.cpp;44;1.0835895538330078;0-2;Single bit-flip
out;fftw.cpp;42;1.26470947265625;0-2;Single bit-flip
exponent;strtod_l.c;484;1.263289213180542;0-2;Single bit-flip
size;fftw.cpp;44;1.1693589687347412;0-2;Single bit-flip
size;fftw.cpp;44;2.612091302871704;0-2;Single bit-flip
i;fftw.cpp;53;1.7910926342010498;0-2;Single bit-flip
size;fftw.cpp;44;2.5726194381713867;0-2;Single bit-flip
out;fftw.cpp;42;1.2884562015533447;0-2;Single bit-flip
i;fftw.cpp;53;1.3728468418121338;0-2;Single bit-flip
out;fftw.cpp;42;0.9053473472595215;0-2;Single bit-flip
size;fftw.cpp;44;2.2121119499206543;0-2;Single bit-flip
i;fftw.cpp;53;1.9941306114196777;0-2;Single bit-flip
i;fftw.cpp;53;1.205406904220581;0-2;Single bit-flip
i;fftw.cpp;53;1.5904290676116943;0-2;Single bit-flip
i;fftw.cpp;53;1.8702051639556885;0-2;Single bit-flip
size;fftw.cpp;44;2.019254446029663;0-2;Single bit-flip
size;fftw.cpp;44;1.4209396839141846;0-2;Single bit-flip
out;fftw.cpp;42;2.0393223762512207;0-2;Single bit-flip
out;fftw.cpp;42;1.2065248489379883;0-2;Single bit-flip
i;fftw.cpp;53;1.7816922664642334;0-2;Single bit-flip
i;fftw.cpp;53;1.1545295715332031;0-2;Single bit-flip
size;fftw.cpp;44;0.5914754867553711;0-2;Single bit-flip
out;fftw.cpp;42;0.5392825603485107;0-2;Single bit-flip
i;fftw.cpp;53;1.8541536331176758;0-2;Single bit-flip
size;fftw.cpp;44;1.3633780479431152;0-2;Single bit-flip
size;fftw.cpp;44;2.0182645320892334;0-2;Single bit-flip
out;fftw.cpp;42;1.6300759315490723;0-2;Single bit-flip
out;fftw.cpp;42;2.365072250366211;0-2;Single bit-flip
size;fftw.cpp;44;0.9940028190612793;0-2;Single bit-flip
size;fftw.cpp;44;0.8657045364379883;0-2;Single bit-flip
i;fftw.cpp;53;1.2862472534179688;0-2;Single bit-flip
size;fftw.cpp;44;1.324012279510498;0-2;Single bit-flip
size;fftw.cpp;44;1.0912740230560303;0-2;Single bit-flip
size;fftw.cpp;44;1.056065320968628;0-2;Single bit-flip
size;fftw.cpp;44;1.190373420715332;0-2;Single bit-flip
i;fftw.cpp;53;2.0527031421661377;0-2;Single bit-flip
size;fftw.cpp;44;1.6423389911651611;0-2;Single bit-flip
i;fftw.cpp;53;1.2799115180969238;0-2;Single bit-flip
i;fftw.cpp;53;1.9286773204803467;0-2;Single bit-flip
size;fftw.cpp;44;1.0481438636779785;0-2;Single bit-flip
i;fftw.cpp;53;1.7413246631622314;0-2;Single bit-flip
i;fftw.cpp;53;1.473536729812622;0-2;Single bit-flip
i;fftw.cpp;53;1.8758471012115479;0-2;Single bit-flip
input;fftw.cpp;10;0.6402289867401123;0-2;Single bit-flip
i;fftw.cpp;53;1.311612606048584;0-2;Single bit-flip
i;fftw.cpp;53;0.8173098564147949;0-2;Single bit-flip
out;fftw.cpp;42;2.5593743324279785;0-2;Single bit-flip
out;fftw.cpp;42;1.3848752975463867;0-2;Single bit-flip
i;fftw.cpp;53;0.7859411239624023;0-2;Single bit-flip
size;fftw.cpp;44;1.9673349857330322;0-2;Single bit-flip
size;fftw.cpp;44;0.5586202144622803;0-2;Single bit-flip
i;fftw.cpp;53;2.021610975265503;0-2;Single bit-flip
size;fftw.cpp;44;0.9734580516815186;0-2;Single bit-flip
i;fftw.cpp;53;0.8536863327026367;0-2;Single bit-flip
i;fftw.cpp;53;1.194148302078247;0-2;Single bit-flip
