Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
size;cooley_tukey.cpp;53;4.425689458847046;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.1710739135742188;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.3362205028533936;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.7862927913665771;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.183320760726929;0-6;Single bit-flip
a;../sysdeps/ieee754/dbl-64/s_sincos.c;80;1.414137601852417;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.5709719657897949;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.728252649307251;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.48626184463501;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.791358947753906;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.7210948467254639;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.479293584823608;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.406326770782471;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;4.054335594177246;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.3418169021606445;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.8914670944213867;0-6;Single bit-flip
i;cooley_tukey.cpp;35;3.354515552520752;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.983354330062866;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.7308783531188965;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.637650728225708;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.8435513973236084;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;5.069658279418945;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.6602797508239746;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.7579379081726074;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.41111946105957;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.0155112743377686;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.3359758853912354;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.7385618686676025;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.410893201828003;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2570228576660156;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.419782400131226;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.896296262741089;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.178649663925171;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.6166799068450928;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.496922254562378;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.988464117050171;0-6;Single bit-flip
this;cooley_tukey.cpp;0;2.7480032444000244;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.086626768112183;0-6;Single bit-flip
cosix;s_cexp.c;40;1.5368545055389404;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.1751925945281982;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.0203814506530762;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.5266969203948975;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.635279178619385;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.9392788410186768;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.946078777313232;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.666733503341675;0-6;Single bit-flip
this;cooley_tukey.cpp;0;1.5000641345977783;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.531166315078735;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;6.721395254135132;0-6;Single bit-flip
__r;/usr/include/c++/6/complex;388;3.357944965362549;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.1455097198486328;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.460936546325684;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.187400817871094;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4388141632080078;0-6;Single bit-flip
i;cooley_tukey.cpp;35;1.5776796340942383;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;3.7277112007141113;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.0984339714050293;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.167115926742554;0-6;Single bit-flip
i;cooley_tukey.cpp;83;3.8846945762634277;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.410723924636841;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.2586116790771484;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.609431266784668;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;5.644894123077393;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.3994715213775635;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.537544012069702;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.95977783203125;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.3101806640625;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.113170623779297;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.9802775382995605;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.9051220417022705;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.715885162353516;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.539810657501221;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.3840248584747314;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.1715428829193115;0-6;Single bit-flip
odds;cooley_tukey.cpp;39;2.511366844177246;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4145419597625732;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.7089340686798096;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.859565734863281;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.196643114089966;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.3853118419647217;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.772707939147949;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.934919834136963;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.907032012939453;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.68699836730957;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.497415542602539;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.937941312789917;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.725964546203613;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.5598232746124268;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.1471009254455566;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.187279224395752;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.1133854389190674;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.4789495468139648;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.580463409423828;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.399111986160278;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9126508235931396;0-6;Single bit-flip
sinix;s_cexp.c;40;3.1028594970703125;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.9899747371673584;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.373202085494995;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.033264636993408;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.905417203903198;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.0604615211486816;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;6.44601845741272;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.617281436920166;0-6;Single bit-flip
__r;/usr/include/c++/6/complex;358;2.1991288661956787;0-6;Single bit-flip
i;cooley_tukey.cpp;35;1.665910243988037;0-6;Single bit-flip
i;cooley_tukey.cpp;83;3.961517095565796;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.282460927963257;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.236236572265625;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.6381072998046875;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2993922233581543;0-6;Single bit-flip
size;cooley_tukey.cpp;53;1.2173080444335938;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.3544249534606934;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.243994951248169;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.895073652267456;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.766150951385498;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.8710527420043945;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;5.430253028869629;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.689283609390259;0-6;Single bit-flip
i;cooley_tukey.cpp;83;3.6474361419677734;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4547653198242188;0-6;Single bit-flip
sf;vsnprintf.c;96;4.469215393066406;0-6;Single bit-flip
sinix;s_cexp.c;40;0.927678108215332;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2469043731689453;0-6;Single bit-flip
n;cooley_tukey.cpp;11;0.7519354820251465;0-6;Single bit-flip
n;cooley_tukey.cpp;11;0.9802682399749756;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.680344343185425;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.149367332458496;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.6955780982971191;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.8614590167999268;0-6;Single bit-flip
evens;cooley_tukey.cpp;38;3.623041868209839;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.879046201705933;0-6;Single bit-flip
size;cooley_tukey.cpp;53;2.146399736404419;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.6516256332397461;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;6.516806125640869;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.931938886642456;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.447027206420898;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.870368957519531;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.446342706680298;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.461195707321167;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;5.964977979660034;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;0.6134328842163086;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.342186689376831;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.2733368873596191;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;4.450055360794067;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.0744380950927734;0-6;Single bit-flip
