Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
size;cooley_tukey.cpp;53;3.082387924194336;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.931628465652466;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.1826181411743164;0-6;Double bit-flip
evens;cooley_tukey.cpp;38;3.4716079235076904;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.256598711013794;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.9054453372955322;0-6;Double bit-flip
evens;cooley_tukey.cpp;38;3.2561328411102295;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.340974807739258;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;3.9149582386016846;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.5563013553619385;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.7335801124572754;0-6;Double bit-flip
size;cooley_tukey.cpp;53;1.7684118747711182;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.885226249694824;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.1680684089660645;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.2171595096588135;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.0915775299072266;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.238102674484253;0-6;Double bit-flip
workstart;vfprintf.c;1257;4.983221769332886;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.776337623596191;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.4585342407226562;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.288710594177246;0-6;Double bit-flip
i;cooley_tukey.cpp;35;2.3569793701171875;0-6;Double bit-flip
i;cooley_tukey.cpp;35;2.0198354721069336;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.026296138763428;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.009380340576172;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;5.184507369995117;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.2876639366149902;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.3945534229278564;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.874621868133545;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.1273422241210938;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.713186740875244;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.1515188217163086;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.1825900077819824;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.3041834831237793;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.419769048690796;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.901294231414795;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;6.090447902679443;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.905451774597168;0-6;Double bit-flip
i;cooley_tukey.cpp;35;2.329685926437378;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.589036703109741;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.975538730621338;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.157741069793701;0-6;Double bit-flip
i;cooley_tukey.cpp;83;2.981541395187378;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.000014781951904;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.08534836769104;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.4918241500854492;0-6;Double bit-flip
this;cooley_tukey.cpp;0;2.248406410217285;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.374882221221924;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;1.2042765617370605;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.9038541316986084;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.393209457397461;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.4203894138336182;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.232957601547241;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.836531400680542;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.275269031524658;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.0536940097808838;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.406435966491699;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.887795925140381;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.3329825401306152;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.724463939666748;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.020069122314453;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.6573169231414795;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.293928861618042;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.868240594863892;0-6;Double bit-flip
size;cooley_tukey.cpp;53;6.330538511276245;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.1599953174591064;0-6;Double bit-flip
size;cooley_tukey.cpp;53;2.650613307952881;0-6;Double bit-flip
twiddle;cooley_tukey.cpp;40;2.3390722274780273;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.157578945159912;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;3.7294411659240723;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.5250396728515625;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;0.5448215007781982;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.821458339691162;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;5.965580701828003;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;4.643946409225464;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.1007745265960693;0-6;Double bit-flip
i;cooley_tukey.cpp;14;1.009782314300537;0-6;Double bit-flip
cosix;s_cexp.c;40;1.0807080268859863;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.686185598373413;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.380671739578247;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.41032075881958;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.797405004501343;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.4961555004119873;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.2781736850738525;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.549417734146118;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.526604652404785;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;4.621520042419434;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;2.287418842315674;0-6;Double bit-flip
evens;cooley_tukey.cpp;38;1.611861228942871;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.352586984634399;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.140084743499756;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.1975295543670654;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;4.320035696029663;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.1787185668945312;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.1304490566253662;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.29892897605896;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.204659461975098;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.6164937019348145;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.418323516845703;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.9758656024932861;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;6.5737128257751465;0-6;Double bit-flip
size;cooley_tukey.cpp;53;6.344192266464233;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.362616062164307;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.055128335952759;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.0315511226654053;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.2497508525848389;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.978596925735474;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.944372892379761;0-6;Double bit-flip
i;cooley_tukey.cpp;83;3.7858541011810303;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.614235162734985;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;5.9616029262542725;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.182021379470825;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.0392308235168457;0-6;Double bit-flip
evens;cooley_tukey.cpp;38;1.2063052654266357;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.139376401901245;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.6937763690948486;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.66748046875;0-6;Double bit-flip
i;cooley_tukey.cpp;83;5.893911361694336;0-6;Double bit-flip
this;cooley_tukey.cpp;0;2.994750499725342;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.3284642696380615;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.437641382217407;0-6;Double bit-flip
x;../sysdeps/ieee754/dbl-64/s_sincos.c;62;1.3635945320129395;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.20865273475647;0-6;Double bit-flip
n;cooley_tukey.cpp;28;0.7592806816101074;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.043332099914551;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.315927267074585;0-6;Double bit-flip
i;cooley_tukey.cpp;83;4.707369565963745;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.035736560821533;0-6;Double bit-flip
