Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;cooley_tukey.cpp;28;1.556396722793579;0-4;Single bit-flip
i;cooley_tukey.cpp;35;1.7746481895446777;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.5975964069366455;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.133812665939331;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.0089647769927979;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.467348337173462;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.937197208404541;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4050166606903076;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7844607830047607;0-4;Single bit-flip
evens;cooley_tukey.cpp;38;1.063683271408081;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.7724583148956299;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9410948753356934;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.901597023010254;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.8249726295471191;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9453611373901367;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4118833541870117;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.3631823062896729;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1918764114379883;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1556181907653809;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.7351903915405273;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.3910605907440186;0-4;Single bit-flip
size;cooley_tukey.cpp;53;0.8713400363922119;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1744744777679443;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6926326751708984;0-4;Single bit-flip
odds;cooley_tukey.cpp;39;1.0562372207641602;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1223094463348389;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1128883361816406;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5511634349822998;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.8343820571899414;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.5881359577178955;0-4;Single bit-flip
__r;/usr/include/c++/6/complex;388;2.0607433319091797;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9728388786315918;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;1.9856758117675781;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.035121202468872;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.2722883224487305;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0332889556884766;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.0152783393859863;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.405442237854004;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.5889041423797607;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5055973529815674;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5444936752319336;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5834977626800537;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2583377361297607;0-4;Single bit-flip
odds;cooley_tukey.cpp;39;1.5175392627716064;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9868519306182861;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.273305892944336;0-4;Single bit-flip
size;cooley_tukey.cpp;53;4.015384912490845;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.1101717948913574;0-4;Single bit-flip
c2;../sysdeps/ieee754/dbl-64/dosincos.h;64;1.4899981021881104;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;3.13447904586792;0-4;Single bit-flip
size;cooley_tukey.cpp;53;4.031983375549316;0-4;Single bit-flip
i;cooley_tukey.cpp;35;0.9957728385925293;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.052490711212158;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9499955177307129;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;3.326964855194092;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9485054016113281;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.7529499530792236;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.3670082092285156;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.6489038467407227;0-4;Single bit-flip
size;cooley_tukey.cpp;53;1.2673125267028809;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.471330165863037;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2608323097229004;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1964993476867676;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.068807363510132;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.317487955093384;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.8255414962768555;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.7914090156555176;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.735882043838501;0-4;Single bit-flip
odds;cooley_tukey.cpp;39;1.8528199195861816;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.362055778503418;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8899731636047363;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6932902336120605;0-4;Single bit-flip
size;cooley_tukey.cpp;53;4.0339438915252686;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.705979585647583;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.808995008468628;0-4;Single bit-flip
size;cooley_tukey.cpp;53;0.6618704795837402;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.748187780380249;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2587215900421143;0-4;Single bit-flip
twiddle;cooley_tukey.cpp;40;2.3234968185424805;0-4;Single bit-flip
sf;vsnprintf.c;96;3.497746706008911;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.7694811820983887;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.6395692825317383;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.63378643989563;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.8778443336486816;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.521301507949829;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.8605930805206299;0-4;Single bit-flip
size;cooley_tukey.cpp;53;1.9824998378753662;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.1336631774902344;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.828904390335083;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.0519931316375732;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.580655813217163;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.5211493968963623;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6815743446350098;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2429728507995605;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.469358444213867;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.6400420665740967;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.075366258621216;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.475435733795166;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.957554817199707;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9004087448120117;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2611429691314697;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.9137649536132812;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.354022264480591;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.5824153423309326;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.4508488178253174;0-4;Single bit-flip
position;cooley_tukey.cpp;68;0.4440748691558838;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2828481197357178;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.817309617996216;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0168421268463135;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.6837410926818848;0-4;Single bit-flip
i;cooley_tukey.cpp;35;1.0621860027313232;0-4;Single bit-flip
evens;cooley_tukey.cpp;38;1.6158931255340576;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.8982465267181396;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1776347160339355;0-4;Single bit-flip
size;cooley_tukey.cpp;53;4.076786994934082;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.1183011531829834;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.8074593544006348;0-4;Single bit-flip
sf;vsnprintf.c;96;3.371194362640381;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.2848587036132812;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2983524799346924;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9604859352111816;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9433879852294922;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.4676475524902344;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1287696361541748;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7009906768798828;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2185087203979492;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.38208627700805664;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.616786479949951;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.5607199668884277;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.667210578918457;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;0.913243293762207;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.0916290283203125;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.2711071968078613;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.9046566486358643;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.1864683628082275;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.1376893520355225;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;3.616060495376587;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1607909202575684;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4433519840240479;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;4.29685378074646;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.052389144897461;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0534985065460205;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9908440113067627;0-4;Single bit-flip
i;cooley_tukey.cpp;35;1.5649876594543457;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.0029451847076416;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.594771385192871;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.6007797718048096;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.2567851543426514;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.0092720985412598;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.492612361907959;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.43174123764038086;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;3.689436674118042;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;1.1677727699279785;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0850629806518555;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9239223003387451;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7637178897857666;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9931614398956299;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8534793853759766;0-4;Single bit-flip
