bitflips:;4010
SDCs:;1395
Crashes:;212
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
Single bit-flip;1395;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Single bit-flip;212;15.197132616487455

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
7.6923076923076925;26;2;output;cooley_tukey.c;88
100.0;2;2;builtin_exec__doc__;../Python/clinic/bltinmodule.c.h;244
100.0;2;2;qualname;../Python/ceval.c;3793
100.0;2;2;argv;../csu/libc-start.c;127
100.0;2;2;signal_sigtimedwait__doc__;../Modules/clinic/signalmodule.c.h;323
100.0;2;2;builtin_isinstance__doc__;../Python/clinic/bltinmodule.c.h;596
100.0;2;2;kwdefs;../Python/ceval.c;3792
100.0;2;2;ntimes_arena_allocated;../Objects/obmalloc.c;928
100.0;1;1;_Py_SwappedOp;../Objects/object.c;645
100.0;1;1;x_digits;../Objects/longobject.c;2586
50.0;2;1;odds;cooley_tukey.cpp;39
100.0;1;1;hp0;../sysdeps/ieee754/dbl-64/dosincos.h;75
100.0;1;1;cs;../sysdeps/ieee754/dbl-64/s_sin.c;170
100.0;1;1;signal_sigwaitinfo__doc__;../Modules/clinic/signalmodule.c.h;308
100.0;1;1;_Py_PackageContext;../Python/modsupport.c;12
100.0;1;1;PyExc_KeyError;../Objects/exceptions.c;1494
100.0;1;1;cs;../sysdeps/ieee754/dbl-64/dosincos.c;63
100.0;1;1;signal_siginterrupt__doc__;../Modules/clinic/signalmodule.c.h;130
100.0;1;1;builtin_issubclass__doc__;../Python/clinic/bltinmodule.c.h;630
100.0;1;1;PyExc_BrokenPipeError;../Objects/exceptions.c;1193
33.33333333333333;3;1;sp;../Python/ceval.c;3230
12.5;8;1;n;cooley_tukey.c;6
33.33333333333333;3;1;i;cooley_tukey.c;9
100.0;1;1;Py_UseClassExceptionsFlag;../Python/pylifecycle.c;85
100.0;1;1;x;../sysdeps/ieee754/dbl-64/s_sincos.c;62
3.225806451612903;31;1;i;cooley_tukey.cpp;35
16.666666666666664;6;1;w;../sysdeps/ieee754/dbl-64/s_sin.c;772
100.0;1;1;SetComp_fields;../Python/Python-ast.c;235
